what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535219
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535220
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535221
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535227
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535228
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535231
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535231
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535232
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535233
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535233
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535236
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535237
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535239
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535240
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535240
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535242
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535242
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535247
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535248
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535250
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535250
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535251
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535252
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535252
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535254
error,log,,,"Unable to find interpreter named: /usr/bin/python. Available: ",1295202535254
