what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223217917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223411201
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223417754
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223421056
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295223422470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223423743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223540197
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1295223543075
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1295223549482
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1295223556210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223563154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223572774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223576750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223585526
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1295223588417
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findPrevious",1295223602486
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223606488
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295223607694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223610367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223663794
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223668344
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223671680
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295223672871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223675813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223733514
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223740793
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1295223743406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295223745003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223745250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223834831
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1295223846664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1295223851287
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1295223854656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295223855061
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1295223856785
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1295223858022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1295223860642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1295223867876
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295223879625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223882221
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295223903118
