what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1294693428427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693428474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693458183
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1294693461706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693466097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693467266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693468246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693468538
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294693469813
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1294693473446
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1294693475535
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1294693475793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1294693478604
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1294693481021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693481063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294693488928
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1294693493673
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294693516648
