what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296136377106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296136377567
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296136382064
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296136382392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296136382564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296136382740
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1296136407441
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296136409176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136411181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136412419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136414915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136600945
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136601376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136602527
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136603781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136645294
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1296136662271
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1296136664693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136666652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136668314
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1296136670203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136718402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136984355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296136986952
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1296137029637
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1296137040620
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296137043280
