what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668442879
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1294668448876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668453327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668456163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668461998
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1294668469134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1294668469166
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1294668469166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668469256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294668479439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669530961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669538258
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1294669545783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1294669547970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669548026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669549139
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669566409
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669569203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1294669580780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669580822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669582077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669894087
activated,view,org.eclipse.team.svn.ui,0.7.9.I20101001-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1294669896544
executed,command,org.eclipse.team.svn.ui,0.7.9.I20101001-1700,"org.eclipse.team.svn.ui.command.CopyUrlCommand",1294669904039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669905959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669935547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294669936919
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294670170605
